log_id,game_id,action_type,value,timestamp,user_id
log_1764608839209,2,DIBS,4,2025. 12. 2. 오전 2:07:19,22학번 김범근
log_1764608995138,3,DIBS,4,2025. 12. 2. 오전 2:09:55,ㅝㅓㅓ
log_1764610870621,5,DIBS,ㅁㅁ,2025. 12. 2. 오전 2:41:10,ㅋㅋ
log_1764610883849,1,DIBS,22,2025. 12. 2. 오전 2:41:23,11
log_1764611200318,2,DIBS,ㅇㅇ,2025. 12. 2. 오전 2:46:40,마피아
log_1764613656976,2,VIEW,1,2025. 12. 2. 오전 3:27:36,Anonymous
log_1764613658598,2,VIEW,1,2025. 12. 2. 오전 3:27:38,Anonymous
log_1764613658697,5,VIEW,1,2025. 12. 2. 오전 3:27:38,Anonymous
log_1764613659791,3,VIEW,1,2025. 12. 2. 오전 3:27:39,Anonymous
log_1764613660205,4,VIEW,1,2025. 12. 2. 오전 3:27:40,Anonymous
log_1764613660285,5,VIEW,1,2025. 12. 2. 오전 3:27:40,Anonymous
log_1764613661520,3,VIEW,1,2025. 12. 2. 오전 3:27:41,Anonymous
log_1764613661790,8,VIEW,1,2025. 12. 2. 오전 3:27:41,Anonymous
log_1764613662250,9,VIEW,1,2025. 12. 2. 오전 3:27:42,Anonymous
log_1764613662185,4,VIEW,1,2025. 12. 2. 오전 3:27:42,Anonymous
log_1764613663873,8,VIEW,1,2025. 12. 2. 오전 3:27:43,Anonymous
log_1764613664405,9,VIEW,1,2025. 12. 2. 오전 3:27:44,Anonymous
log_1764613665097,9,VIEW,1,2025. 12. 2. 오전 3:27:45,Anonymous
log_1764613665461,8,VIEW,1,2025. 12. 2. 오전 3:27:45,Anonymous
log_1764613665504,8,VIEW,1,2025. 12. 2. 오전 3:27:45,Anonymous
log_1764613665494,8,VIEW,1,2025. 12. 2. 오전 3:27:45,Anonymous
log_1764613666091,8,VIEW,1,2025. 12. 2. 오전 3:27:46,Anonymous
log_1764613666456,9,VIEW,1,2025. 12. 2. 오전 3:27:46,Anonymous
log_1764613667342,7,VIEW,1,2025. 12. 2. 오전 3:27:47,Anonymous
log_1764613667967,8,VIEW,1,2025. 12. 2. 오전 3:27:47,Anonymous
log_1764613668891,8,VIEW,1,2025. 12. 2. 오전 3:27:48,Anonymous
log_1764613670606,8,VIEW,1,2025. 12. 2. 오전 3:27:50,Anonymous
log_1764613671818,8,VIEW,1,2025. 12. 2. 오전 3:27:51,Anonymous
log_1764613672583,8,VIEW,1,2025. 12. 2. 오전 3:27:52,Anonymous
log_1764613873745,13,VIEW,1,2025. 12. 2. 오전 3:31:13,Anonymous
log_1764613875637,13,VIEW,1,2025. 12. 2. 오전 3:31:15,Anonymous
log_1764613930180,2,VIEW,1,2025. 12. 2. 오전 3:32:10,Anonymous
log_1764613930074,2,VIEW,1,2025. 12. 2. 오전 3:32:10,Anonymous
log_1764613933962,2,MISS,입고요청,2025. 12. 2. 오전 3:32:13,anonymous
log_1764615153452,4,VIEW,1,2025. 12. 2. 오전 3:52:33,Anonymous
log_1764615155080,4,VIEW,1,2025. 12. 2. 오전 3:52:35,Anonymous
log_1764615255845,3,VIEW,1,2025. 12. 2. 오전 3:54:15,Anonymous
log_1764615256509,3,VIEW,1,2025. 12. 2. 오전 3:54:16,Anonymous
log_1764616181897,2,VIEW,1,2025. 12. 2. 오전 4:09:41,Anonymous
log_1764616182258,2,VIEW,1,2025. 12. 2. 오전 4:09:42,Anonymous
log_1764616193073,2,VIEW,1,2025. 12. 2. 오전 4:09:53,Anonymous
log_1764616193828,2,VIEW,1,2025. 12. 2. 오전 4:09:53,Anonymous
log_1764616197142,3,VIEW,1,2025. 12. 2. 오전 4:09:57,Anonymous
log_1764616199038,3,VIEW,1,2025. 12. 2. 오전 4:09:59,Anonymous
log_1764616205298,3,DIBS,ㅇ,2025. 12. 2. 오전 4:10:05,ㅇ
log_1764653720860,3,AUTO_CANCEL,시간만료,"12/2/2025, 오후 2:35:20",ㅇ
log_1764653799531,10,VIEW,1,2025. 12. 2. 오후 2:36:39,Anonymous
log_1764653800763,10,VIEW,1,2025. 12. 2. 오후 2:36:40,Anonymous
log_1764653826962,10,DIBS,ㄴㄴ,2025. 12. 2. 오후 2:37:06,ㅇㅇ
log_1764653876429,6,VIEW,1,2025. 12. 2. 오후 2:37:56,Anonymous
log_1764653877443,6,VIEW,1,2025. 12. 2. 오후 2:37:57,Anonymous
log_1764653886034,6,DIBS,ㅊ,2025. 12. 2. 오후 2:38:06,ㅊ
log_1764653892413,3,VIEW,1,2025. 12. 2. 오후 2:38:12,Anonymous
log_1764653892740,3,VIEW,1,2025. 12. 2. 오후 2:38:12,Anonymous
log_1764653898286,3,DIBS,ㅊㅊㅊ,2025. 12. 2. 오후 2:38:18,ㅊㅊ
log_1764655906728,3,AUTO_CANCEL,시간만료,"12/2/2025, 오후 3:11:46",ㅊㅊ
log_1764655907024,6,AUTO_CANCEL,시간만료,"12/2/2025, 오후 3:11:47",ㅊ
log_1764655907243,10,AUTO_CANCEL,시간만료,"12/2/2025, 오후 3:11:47",ㅇㅇ
