copy_id,game_id,status,location,condition,memo
1,1,AVAILABLE,동아리방,A,
2,2,RENTED,동아리방,A,
3,3,AVAILABLE,동아리방,A,
4,4,AVAILABLE,동아리방,A,
5,5,AVAILABLE,동아리방,A,
6,6,AVAILABLE,동아리방,A,
7,7,AVAILABLE,동아리방,A,
8,8,AVAILABLE,동아리방,A,
9,9,AVAILABLE,동아리방,A,
8866,8866,AVAILABLE,동아리방,A,
193,193,AVAILABLE,동아리방,A,
10,10,AVAILABLE,동아리방,A,
11,11,AVAILABLE,동아리방,A,
12,12,AVAILABLE,동아리방,A,
13,13,AVAILABLE,동아리방,A,
196,196,AVAILABLE,동아리방,A,
14,14,AVAILABLE,동아리방,A,
15,15,AVAILABLE,동아리방,A,
16,16,AVAILABLE,동아리방,A,
17,17,AVAILABLE,동아리방,A,
18,18,AVAILABLE,동아리방,A,
19,19,AVAILABLE,동아리방,A,
20,20,AVAILABLE,동아리방,A,
21,21,AVAILABLE,동아리방,A,
22,22,AVAILABLE,동아리방,A,
23,23,AVAILABLE,동아리방,A,
24,24,AVAILABLE,동아리방,A,
4732,4732,AVAILABLE,동아리방,A,
25,25,AVAILABLE,동아리방,A,
26,26,AVAILABLE,동아리방,A,
27,27,AVAILABLE,동아리방,A,
28,28,AVAILABLE,동아리방,A,
29,29,AVAILABLE,동아리방,A,
30,30,AVAILABLE,동아리방,A,
31,31,AVAILABLE,동아리방,A,
4851,4851,AVAILABLE,동아리방,A,
32,32,AVAILABLE,동아리방,A,
33,33,AVAILABLE,동아리방,A,
34,34,AVAILABLE,동아리방,A,
35,35,AVAILABLE,동아리방,A,
36,36,AVAILABLE,동아리방,A,
37,37,AVAILABLE,동아리방,A,
38,38,AVAILABLE,동아리방,A,
39,39,AVAILABLE,동아리방,A,
40,40,AVAILABLE,동아리방,A,
41,41,AVAILABLE,동아리방,A,
42,42,AVAILABLE,동아리방,A,
43,43,AVAILABLE,동아리방,A,
44,44,AVAILABLE,동아리방,A,
45,45,AVAILABLE,동아리방,A,
54,54,AVAILABLE,동아리방,A,
46,46,AVAILABLE,동아리방,A,
47,47,AVAILABLE,동아리방,A,
48,48,AVAILABLE,동아리방,A,
49,49,AVAILABLE,동아리방,A,
50,50,AVAILABLE,동아리방,A,
7277,7277,AVAILABLE,동아리방,A,
51,51,AVAILABLE,동아리방,A,
6751,6751,AVAILABLE,동아리방,A,
3267,3267,AVAILABLE,동아리방,A,
52,52,AVAILABLE,동아리방,A,
53,53,AVAILABLE,동아리방,A,
194,194,AVAILABLE,동아리방,A,
55,55,AVAILABLE,동아리방,A,
56,56,AVAILABLE,동아리방,A,
57,57,AVAILABLE,동아리방,A,
58,58,AVAILABLE,동아리방,A,
5572,5572,AVAILABLE,동아리방,A,
59,59,AVAILABLE,동아리방,A,
60,60,AVAILABLE,동아리방,A,
61,61,AVAILABLE,동아리방,A,
62,62,AVAILABLE,동아리방,A,
63,63,AVAILABLE,동아리방,A,
64,64,AVAILABLE,동아리방,A,
65,65,AVAILABLE,동아리방,A,
66,66,AVAILABLE,동아리방,A,
67,67,AVAILABLE,동아리방,A,
68,68,AVAILABLE,동아리방,A,
69,69,AVAILABLE,동아리방,A,
70,70,AVAILABLE,동아리방,A,
71,71,AVAILABLE,동아리방,A,
197,197,AVAILABLE,동아리방,A,
195,195,AVAILABLE,동아리방,A,
72,72,AVAILABLE,동아리방,A,
73,73,AVAILABLE,동아리방,A,
74,74,AVAILABLE,동아리방,A,
75,75,AVAILABLE,동아리방,A,
76,76,AVAILABLE,동아리방,A,
77,77,AVAILABLE,동아리방,A,
78,78,AVAILABLE,동아리방,A,
79,79,AVAILABLE,동아리방,A,
80,80,AVAILABLE,동아리방,A,
199,199,AVAILABLE,동아리방,A,
81,81,AVAILABLE,동아리방,A,
82,82,AVAILABLE,동아리방,A,
83,83,AVAILABLE,동아리방,A,
84,84,AVAILABLE,동아리방,A,
85,85,AVAILABLE,동아리방,A,
86,86,AVAILABLE,동아리방,A,
87,87,AVAILABLE,동아리방,A,
88,88,AVAILABLE,동아리방,A,
89,89,AVAILABLE,동아리방,A,
90,90,AVAILABLE,동아리방,A,
91,91,AVAILABLE,동아리방,A,
92,92,AVAILABLE,동아리방,A,
93,93,AVAILABLE,동아리방,A,
94,94,AVAILABLE,동아리방,A,
95,95,AVAILABLE,동아리방,A,
96,96,AVAILABLE,동아리방,A,
97,97,AVAILABLE,동아리방,A,
98,98,AVAILABLE,동아리방,A,
99,99,AVAILABLE,동아리방,A,
100,100,AVAILABLE,동아리방,A,
101,101,AVAILABLE,동아리방,A,
102,102,AVAILABLE,동아리방,A,
103,103,AVAILABLE,동아리방,A,
104,104,AVAILABLE,동아리방,A,
105,105,AVAILABLE,동아리방,A,
106,106,AVAILABLE,동아리방,A,
107,107,AVAILABLE,동아리방,A,
108,108,AVAILABLE,동아리방,A,
109,109,AVAILABLE,동아리방,A,
110,110,AVAILABLE,동아리방,A,
111,111,AVAILABLE,동아리방,A,
112,112,AVAILABLE,동아리방,A,
113,113,AVAILABLE,동아리방,A,
114,114,AVAILABLE,동아리방,A,
115,115,AVAILABLE,동아리방,A,
116,116,AVAILABLE,동아리방,A,
117,117,AVAILABLE,동아리방,A,
118,118,RENTED,동아리방,A,
119,119,AVAILABLE,동아리방,A,
120,120,AVAILABLE,동아리방,A,
121,121,AVAILABLE,동아리방,A,
122,122,AVAILABLE,동아리방,A,
123,123,AVAILABLE,동아리방,A,
124,124,AVAILABLE,동아리방,A,
125,125,AVAILABLE,동아리방,A,
126,126,AVAILABLE,동아리방,A,
127,127,AVAILABLE,동아리방,A,
128,128,AVAILABLE,동아리방,A,
129,129,AVAILABLE,동아리방,A,
130,130,AVAILABLE,동아리방,A,
131,131,AVAILABLE,동아리방,A,
132,132,AVAILABLE,동아리방,A,
133,133,AVAILABLE,동아리방,A,
134,134,AVAILABLE,동아리방,A,
135,135,AVAILABLE,동아리방,A,
136,136,AVAILABLE,동아리방,A,
198,198,AVAILABLE,동아리방,A,
137,137,AVAILABLE,동아리방,A,
138,138,AVAILABLE,동아리방,A,
139,139,AVAILABLE,동아리방,A,
140,140,AVAILABLE,동아리방,A,
141,141,AVAILABLE,동아리방,A,
142,142,AVAILABLE,동아리방,A,
143,143,AVAILABLE,동아리방,A,
144,144,AVAILABLE,동아리방,A,
146,146,AVAILABLE,동아리방,A,
147,147,AVAILABLE,동아리방,A,
148,148,AVAILABLE,동아리방,A,
149,149,AVAILABLE,동아리방,A,
150,150,AVAILABLE,동아리방,A,
151,151,AVAILABLE,동아리방,A,
152,152,AVAILABLE,동아리방,A,
153,153,AVAILABLE,동아리방,A,
154,154,AVAILABLE,동아리방,A,
155,155,AVAILABLE,동아리방,A,
156,156,AVAILABLE,동아리방,A,
157,157,AVAILABLE,동아리방,A,
158,158,AVAILABLE,동아리방,A,
159,159,AVAILABLE,동아리방,A,
160,160,AVAILABLE,동아리방,A,
161,161,AVAILABLE,동아리방,A,
162,162,AVAILABLE,동아리방,A,
163,163,AVAILABLE,동아리방,A,
164,164,AVAILABLE,동아리방,A,
165,165,AVAILABLE,동아리방,A,
166,166,AVAILABLE,동아리방,A,
167,167,AVAILABLE,동아리방,A,
168,168,AVAILABLE,동아리방,A,
169,169,AVAILABLE,동아리방,A,
170,170,AVAILABLE,동아리방,A,
171,171,AVAILABLE,동아리방,A,
172,172,AVAILABLE,동아리방,A,
173,173,AVAILABLE,동아리방,A,
174,174,AVAILABLE,동아리방,A,
175,175,AVAILABLE,동아리방,A,
2033,2033,AVAILABLE,동아리방,A,
176,176,AVAILABLE,동아리방,A,
177,177,AVAILABLE,동아리방,A,
178,178,AVAILABLE,동아리방,A,
179,179,AVAILABLE,동아리방,A,
180,180,AVAILABLE,동아리방,A,
181,181,AVAILABLE,동아리방,A,
182,182,AVAILABLE,동아리방,A,
183,183,AVAILABLE,동아리방,A,
184,184,AVAILABLE,동아리방,A,
185,185,AVAILABLE,동아리방,A,
186,186,AVAILABLE,동아리방,A,
187,187,AVAILABLE,동아리방,A,
188,188,AVAILABLE,동아리방,A,
189,189,AVAILABLE,동아리방,A,
190,190,AVAILABLE,동아리방,A,
191,191,AVAILABLE,동아리방,A,
192,192,AVAILABLE,동아리방,A,
