game_id,user_id,borrowed_at,status
1,Admin,2025-12-04 01:21:01+00,RETURNED
1,Admin,2025-12-05 17:17:58+00,RETURNED
1,Admin,2025-12-05 17:19:03+00,RETURNED
1,BatchAdmin,2025-12-12 02:38:54+00,RETURNED
1,Admin,2025-12-12 03:44:17+00,RETURNED
1,Admin,2025-12-13 00:13:22+00,RETURNED
1,BatchAdmin,2025-12-13 00:14:08+00,RETURNED
1,BatchAdmin,2025-12-13 00:28:15+00,RETURNED
1,BatchAdmin,2025-12-13 04:52:39+00,RETURNED
1,BatchAdmin,2025-12-13 04:57:13+00,RETURNED
1,BatchAdmin,2025-12-13 19:09:27+00,RETURNED
1,BatchAdmin,2025-12-13 19:40:31+00,RETURNED
1,BatchAdmin,2025-12-13 21:39:11+00,RETURNED
1,BatchAdmin,2025-12-13 21:44:00+00,RETURNED
1,BatchAdmin,2025-12-13 21:50:18+00,RETURNED
1,BatchAdmin,2025-12-13 22:03:59+00,RETURNED
1,BatchAdmin,2025-12-14 00:39:22+00,RETURNED
2,BatchAdmin,2025-12-12 00:46:47+00,RETURNED
2,BatchAdmin,2025-12-12 02:38:54+00,RETURNED
2,BatchAdmin,2025-12-13 00:14:08+00,RETURNED
2,BatchAdmin,2025-12-13 00:28:16+00,RETURNED
2,BatchAdmin,2025-12-13 04:52:40+00,RETURNED
2,BatchAdmin,2025-12-13 19:09:24+00,RETURNED
2,Admin,2025-12-13 19:40:28+00,RETURNED
2,BatchAdmin,2025-12-13 21:39:12+00,RETURNED
2,BatchAdmin,2025-12-13 21:44:01+00,RETURNED
2,BatchAdmin,2025-12-13 21:50:19+00,RETURNED
2,BatchAdmin,2025-12-13 22:04:01+00,RETURNED
2,BatchAdmin,2025-12-13 22:11:36+00,RETURNED
2,BatchAdmin,2025-12-13 23:06:59+00,RETURNED
2,BatchAdmin,2025-12-14 00:39:26+00,RETURNED
2,22222222,2025-12-24 23:02:45+00,RETURNED
3,Admin,2025-12-02 20:00:13+00,RETURNED
3,Admin,2025-12-04 01:21:01+00,RETURNED
3,Admin,2025-12-04 18:47:48+00,RETURNED
3,Admin,2025-12-05 17:17:55+00,RETURNED
3,Admin,2025-12-07 02:37:39+00,RETURNED
3,BatchAdmin,2025-12-13 00:28:17+00,RETURNED
3,Admin,2025-12-13 03:21:05+00,RETURNED
3,BatchAdmin,2025-12-13 04:52:41+00,RETURNED
3,BatchAdmin,2025-12-13 04:57:14+00,RETURNED
3,BatchAdmin,2025-12-13 19:09:25+00,RETURNED
3,BatchAdmin,2025-12-13 19:40:38+00,RETURNED
3,BatchAdmin,2025-12-13 22:11:37+00,RETURNED
3,BatchAdmin,2025-12-13 23:06:59+00,RETURNED
3,22200084,2025-12-14 00:33:28+00,RETURNED
3,BatchAdmin,2025-12-15 04:02:42+00,RETURNED
4,Admin,2025-12-03 04:53:39+00,RETURNED
4,BatchAdmin,2025-12-12 00:46:48+00,RETURNED
4,BatchAdmin,2025-12-13 04:52:41+00,RETURNED
4,BatchAdmin,2025-12-13 19:09:25+00,RETURNED
4,BatchAdmin,2025-12-13 19:40:39+00,RETURNED
4,Admin,2025-12-13 21:32:43+00,RETURNED
5,Admin,2025-12-04 18:47:48+00,RETURNED
5,Admin,2025-12-05 17:19:07+00,RETURNED
5,Admin,2025-12-12 03:03:03+00,RETURNED
5,BatchAdmin,2025-12-13 19:09:28+00,RETURNED
5,BatchAdmin,2025-12-13 19:40:40+00,RETURNED
5,BatchAdmin,2025-12-15 04:02:44+00,RETURNED
6,BatchAdmin,2025-12-13 19:40:40+00,RETURNED
7,Admin,2025-12-12 00:22:54+00,RETURNED
7,BatchAdmin,2025-12-13 19:40:41+00,RETURNED
8,BatchAdmin,2025-12-13 19:40:42+00,RETURNED
9,Admin,2025-12-07 02:37:39+00,RETURNED
9,BatchAdmin,2025-12-13 19:09:26+00,RETURNED
9,BatchAdmin,2025-12-13 19:40:31+00,RETURNED
10,Admin,2025-12-03 23:48:54+00,RETURNED
10,Admin,2025-12-12 00:36:59+00,RETURNED
10,BatchAdmin,2025-12-12 03:34:24+00,RETURNED
10,BatchAdmin,2025-12-13 19:09:29+00,RETURNED
12,Admin,2025-12-12 00:36:11+00,RETURNED
12,BatchAdmin,2025-12-12 03:34:25+00,RETURNED
13,BatchAdmin,2025-12-12 03:34:25+00,RETURNED
19,Admin,2025-12-05 17:05:17+00,RETURNED
51,Admin,2025-12-05 12:10:25+00,RETURNED
77,Admin,2025-12-05 12:10:25+00,RETURNED
118,Admin,2025-12-04 18:40:09+00,RETURNED
118,22400321,2025-12-13 23:27:39+00,RETURNED
162,Admin,2025-12-04 22:51:34+00,RETURNED
196,Admin,2025-12-03 23:25:47+00,RETURNED
