rental_id,user_id,copy_id,game_name,renter_name,borrowed_at,due_date,returned_at,type
1,,1,1%의 기적,Admin,2025-12-04 01:21:01+00,,2026-01-31T03:16:13.524Z,RENT
2,,1,1%의 기적,Admin,2025-12-05 17:17:58+00,,2026-01-31T03:16:13.525Z,RENT
3,,1,1%의 기적,Admin,2025-12-05 17:19:03+00,,2026-01-31T03:16:13.525Z,RENT
4,,1,1%의 기적,BatchAdmin,2025-12-12 02:38:54+00,,2026-01-31T03:16:13.525Z,RENT
5,,1,1%의 기적,Admin,2025-12-12 03:44:17+00,,2026-01-31T03:16:13.525Z,RENT
6,,1,1%의 기적,Admin,2025-12-13 00:13:22+00,,2026-01-31T03:16:13.525Z,RENT
7,,1,1%의 기적,BatchAdmin,2025-12-13 00:14:08+00,,2026-01-31T03:16:13.525Z,RENT
8,,1,1%의 기적,BatchAdmin,2025-12-13 00:28:15+00,,2026-01-31T03:16:13.525Z,RENT
9,,1,1%의 기적,BatchAdmin,2025-12-13 04:52:39+00,,2026-01-31T03:16:13.525Z,RENT
10,,1,1%의 기적,BatchAdmin,2025-12-13 04:57:13+00,,2026-01-31T03:16:13.525Z,RENT
11,,1,1%의 기적,BatchAdmin,2025-12-13 19:09:27+00,,2026-01-31T03:16:13.525Z,RENT
12,,1,1%의 기적,BatchAdmin,2025-12-13 19:40:31+00,,2026-01-31T03:16:13.525Z,RENT
13,,1,1%의 기적,BatchAdmin,2025-12-13 21:39:11+00,,2026-01-31T03:16:13.525Z,RENT
14,,1,1%의 기적,BatchAdmin,2025-12-13 21:44:00+00,,2026-01-31T03:16:13.525Z,RENT
15,,1,1%의 기적,BatchAdmin,2025-12-13 21:50:18+00,,2026-01-31T03:16:13.525Z,RENT
16,,1,1%의 기적,BatchAdmin,2025-12-13 22:03:59+00,,2026-01-31T03:16:13.525Z,RENT
17,,1,1%의 기적,BatchAdmin,2025-12-14 00:39:22+00,,2026-01-31T03:16:13.525Z,RENT
18,,2,12칩 트릭,BatchAdmin,2025-12-12 00:46:47+00,,2026-01-31T03:16:13.525Z,RENT
19,,2,12칩 트릭,BatchAdmin,2025-12-12 02:38:54+00,,2026-01-31T03:16:13.525Z,RENT
20,,2,12칩 트릭,BatchAdmin,2025-12-13 00:14:08+00,,2026-01-31T03:16:13.525Z,RENT
21,,2,12칩 트릭,BatchAdmin,2025-12-13 00:28:16+00,,2026-01-31T03:16:13.525Z,RENT
22,,2,12칩 트릭,BatchAdmin,2025-12-13 04:52:40+00,,2026-01-31T03:16:13.525Z,RENT
23,,2,12칩 트릭,BatchAdmin,2025-12-13 19:09:24+00,,2026-01-31T03:16:13.525Z,RENT
24,,2,12칩 트릭,Admin,2025-12-13 19:40:28+00,,2026-01-31T03:16:13.525Z,RENT
25,,2,12칩 트릭,BatchAdmin,2025-12-13 21:39:12+00,,2026-01-31T03:16:13.525Z,RENT
