=== Tag Frequencies ===
#3학점: 20 games
#룸메: 14 games
#팀모임: 13 games
#순발력: 11 games
#25: 9 games
#마피아: 8 games
#머더부: 7 games
#인기: 2 games
#커플: 1 games

=== Games with NO Tags ===
- 너냐?! (Genre: TRPG, Category: TRPG, Players: 2~5)
- 그러는 너는 어떤데? (Genre: 파티, Category: 보드게임, Players: 3~5)
- 로스트 시티 (Genre: 카드/전략, Category: 보드게임, Players: 2~2)
- 블랙 스토리즈 : 황당한 죽음 (Genre: 추리/스토리, Category: 보드게임, Players: 2~99)
- 언락 1 (Genre: 방탈출, Category: 보드게임, Players: 1~6)
- 아임 더 보스! (Genre: 협상, Category: 보드게임, Players: 3~6)
- 라스베가스 (Genre: 주사위/파티, Category: 보드게임, Players: 2~5)
- 당신은 사건현장에 있습니다 2 (Genre: TRPG, Category: TRPG, Players: 1~4)
- 갱 오브 다이스 (Genre: 주사위/파티, Category: 보드게임, Players: 2~5)
- 12칩 트릭 (Genre: 트릭테이킹, Category: 보드게임, Players: 3~4)
- 노닥노닥 TRPG (Genre: TRPG, Category: 보드게임, Players: 3~5)
- 그러는 너는 어떤데? 리벤지 (Genre: 파티, Category: 보드게임, Players: 3~5)
- 엘 그란데 빅 박스 (Genre: 영향력, Category: 보드게임, Players: 2~5)
- 갬블러 X 갬블! (Genre: 배팅/블러핑, Category: 보드게임, Players: 3~4)
- 워드캡처 (Genre: 단어, Category: 보드게임, Players: 2~6)
- 오토배틀 챌린저스! (Genre: 덱빌딩, Category: 보드게임, Players: 1~8)
- 월드 오브 워크래프트 : 리치 왕의 분노 - 팬데믹 보드게임 (Genre: 협력/팬데믹, Category: 보드게임, Players: 1~5)
- 익스플로딩 키튼 (Genre: 파티, Category: 보드게임, Players: 2~5)
- 지도 제작자들 (Genre: 드로잉, Category: 보드게임, Players: 1~100)
- 최종변론 (Genre: 파티, Category: 보드게임, Players: 1~2)
- 카르카손 (Genre: 타일놓기, Category: 보드게임, Players: 2~5)
- 인세인 2 (Genre: TRPG, Category: TRPG, Players: 3~5)
- 클루 (Genre: 추리, Category: 보드게임, Players: 2~6)
- 쿼스천 카드 클래식 (Genre: 파티, Category: 보드게임, Players: 3~6)
- 카르타벤추라 : 빈란드 (Genre: 역사/카드, Category: 보드게임, Players: 1~6)
- 카멜 업 (Genre: 경주/베팅, Category: 보드게임, Players: 2~8)
- 갱스터스 딜레마 (Genre: 블러핑/전략, Category: 보드게임, Players: 3~7)
- 요트다이스 (Genre: 주사위, Category: 보드게임, Players: 2~6)
- 커피 러시 (Genre: 엔진빌딩, Category: 보드게임, Players: 2~4)
- 판타지 왕국 (Genre: 카드/콤보, Category: 보드게임, Players: 2~6)
- 펭귄파티 (Genre: 카드, Category: 보드게임, Players: 2~6)
- 롱 샷 (Genre: 레이싱/파티, Category: 보드게임, Players: 1~8)
- 감자의 꿈 (Genre: 추리/머더, Category: 머더미스터리, Players: 5~5)
- 몇 번이고 푸른 달에 불을 붙였다 (Genre: 추리/머더, Category: 머더미스터리, Players: 6~7)
- 먼치킨 (Genre: 카드/전략, Category: 보드게임, Players: 3~6)
- 스몰 월드 오브 워크래프트 (Genre: 판타지/지역장악, Category: 보드게임, Players: 2~5)
